0,555,540,3172,4546,3848,3394,4771,6307,5363,4941,3603,10421,10216,5026,9475,3003,3692,3803,10352,7565,7172,4991,6998,5014,9617,9392,7953,7945,7511,7535
750,0,339,2612,3473,3288,2833,4211,6100,4803,4381,3280,9861,9656,4466,8915,2443,3132,3243,8084,7397,6099,4822,5887,3976,9449,9223,7784,7777,7343,7367
775,256,0,2872,4246,3548,3094,4471,6007,5063,4641,3303,10121,9916,4727,9175,2704,3392,3503,10052,7265,6872,4691,6698,4714,9317,9092,7653,7645,7211,7235
3120,2480,2953,0,1395,1210,862,3018,4709,3610,2556,3525,7783,7578,3274,6837,1871,1938,1165,6006,4327,4022,1944,3862,1898,7017,6792,5353,4222,4272,4290
4158,4186,4826,1709,0,1000,1348,4035,5334,4357,3908,4810,8800,8595,4290,7854,3748,4437,879,4622,3322,2637,2131,2982,1200,6023,5136,5680,4408,4676,3246
3908,3268,3741,788,1011,0,427,3113,4943,3705,3212,3889,7879,7673,3369,6932,2772,2726,779,5622,3994,3637,1997,3478,1100,7116,6890,5451,4274,4325,3962
3481,2841,3314,361,1310,1056,0,3412,5242,4004,2917,4187,8177,7972,3668,7231,2233,2299,1077,5618,3990,3633,2306,3474,1399,7414,7189,5750,4583,4634,3955
6329,5412,6162,3908,4164,4266,4201,0,1830,2382,3377,1505,4769,4564,650,3823,3571,2932,3934,9486,7681,7561,5380,7165,5391,9300,9496,7884,7657,7708,7647
8027,7111,7861,5607,4557,4828,5900,2065,0,965,1970,2619,3314,3109,1640,3184,5270,4631,4052,8332,6528,6407,3360,6011,4238,11540,8343,6615,5453,5504,6494
5852,5228,5686,3522,3325,3596,4023,2010,965,0,1005,2564,4154,3949,1776,4023,3179,2807,2819,7100,4702,5175,2426,4107,3006,7554,6434,4477,4519,4570,4587
5600,4987,5433,3217,3013,3284,3510,3787,2534,1432,0,4124,4723,4518,3335,4593,2874,3312,2507,6788,3703,4863,1428,3109,2693,5552,5436,3570,3521,3572,3590
3624,3011,3457,5267,5522,5625,5560,2246,3196,2972,3966,0,5574,5369,2383,4628,2561,3250,5293,9257,7452,7332,5151,6936,5162,14399,9267,9235,7428,7479,7418
10583,8664,10416,8163,8082,8353,8456,5149,3139,3958,4555,5474,0,238,4547,1117,7826,7187,7577,11857,8070,9932,5594,9536,7763,8475,9010,6626,6790,6955,8227
13541,8671,13374,8170,8051,8322,8463,5156,3108,3927,4524,5481,275,0,4516,1124,7833,7194,7545,11826,8280,9901,5563,9505,7732,8686,9220,6836,7000,7165,8437
6606,5690,6440,4186,4287,4559,4479,278,1619,1777,2772,1314,5047,4842,0,4101,3849,2492,3782,8063,6258,6138,3957,5742,3968,11302,8073,7534,6234,6285,6224
9639,7720,9472,7218,7474,7576,7511,4205,3854,4673,5270,4530,949,744,4460,0,6881,6242,7244,12248,8259,10323,6309,9927,8154,8664,9199,6815,6979,7143,8416
2987,2374,2820,1649,2460,2744,1872,2068,3981,2660,2018,1954,6422,6216,2324,5476,0,770,2310,7317,5513,5392,2905,4996,3223,7676,7451,6012,6004,5570,5478
4048,3435,3882,2352,2672,2957,2645,1935,3765,2527,2057,2037,7810,7605,2191,6864,1453,0,3075,7356,5551,5431,3485,5035,3261,7817,7592,6153,5527,5711,5517
3980,3339,3813,876,453,738,1165,3279,3800,2824,2374,4054,8044,7839,3534,7098,2731,2797,0,5023,3203,3079,1211,2686,321,6522,5017,4857,3488,3539,3168
9006,8095,8839,5009,4140,4221,4648,7311,6987,6011,5562,7864,10539,10334,7076,10409,6255,6702,4100,0,2076,2011,3581,1621,3873,4752,3866,4615,3952,3475,2232
9394,9064,9227,4559,3491,3771,4197,8557,8233,4339,6807,9110,8746,8541,8322,8093,5447,7948,3428,2083,0,1805,2656,1435,3180,3035,2149,2898,2235,1757,786
8743,7833,8576,4219,3751,3431,3858,7048,6725,5749,5299,7602,10277,10072,6814,10146,5992,6439,3310,1260,2093,0,3585,1966,3484,4770,3884,4633,3970,3493,2250
4938,4325,4771,2178,1956,2215,2641,4179,3856,2231,2430,4733,7408,7203,3945,7770,2807,3215,1872,4635,2718,2650,0,2201,1624,4643,4528,3569,2613,2664,2682
6814,6218,6647,3812,2745,3024,3451,5994,5671,4355,4245,6548,9223,9018,5760,9957,4700,5108,2682,1777,1628,810,2135,0,2434,4329,3442,4710,3424,3067,1636
4498,3858,4331,1378,620,590,1017,3704,4269,3004,2701,4479,8469,8264,3959,7523,3363,4051,469,5242,4103,3257,1721,3196,0,6934,6709,5270,3998,4049,3638
9707,9377,9540,8052,7526,6381,8412,8506,8497,7512,7063,9602,7356,8056,8586,7608,7589,7997,7102,4645,2946,4631,4771,4261,5791,0,1007,2739,2690,2671,3103
9361,9032,9195,6162,5095,5374,5801,8339,7411,6331,6717,14676,9907,9702,8104,9254,7244,7651,5031,3832,1939,3624,4412,3254,4784,886,0,2394,2331,2312,2096
7196,6866,7029,5541,5016,5300,5901,5995,4777,3697,4552,7091,7342,7137,6075,6689,5078,5486,4591,4685,2721,4406,3028,3915,4166,3135,2933,0,1441,1606,2878
8509,8180,8343,4336,4134,4419,4845,6337,5428,4348,4588,6891,7836,7631,6103,7183,5147,5555,3761,3537,1573,3258,2401,2888,3673,2805,2552,2946,0,825,1730
7823,7494,7656,6168,5643,5928,6528,6623,5718,5629,5179,7491,7012,6806,6702,6358,5706,6113,5218,4305,2342,4027,2756,3657,5347,2790,2564,1140,675,0,2499
8608,8279,8441,4229,3162,3441,3868,6406,5478,4398,4657,6960,7833,7628,6171,8287,5117,5524,3098,2758,551,2480,2509,2600,2851,3252,2366,3045,1730,1781,0
